,cluster,asignatura,id,titulacion
31,236,MORFOFUNCIONAL II ANATOMÍA PRÁCTICA,6387,MEDICINA
32,270,FINANZAS,6396,ADMINISTRACIÓN EN BANCA Y FINANZAS
33,253,PANADERÍA Y PASTELERÍA I,6826,GASTRONOMÍA
34,189,"PARTICIPACIÓN CIUDADANA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCIÓN",6835,DERECHO
35,234,MORFOFUNCIONAL III ANATOMÍA PRÁCTICA,6844,MEDICINA
36,259,INTEGRADO DE CLÍNICA I: SEMIOLOGÍA PRÁCTICA,6853,MEDICINA
37,261,INTEGRADO DE CLÍNICA I: SEMIOLOGÍA TEÓRICA,6924,MEDICINA
38,257,INTEGRADO DE CLÍNICAS QUIRÚRGICAS MEDICINA CRÍTICA Y URGENCIAS,6995,MEDICINA
39,54,"INTERNADO: CIRUGÍA, MEDICINA INTERNA, GINECOLOGÍA-OBSTETRICIA, PEDIATRÍA GP 4.2",7004,MEDICINA
40,62,MEDICINA COMUNITARIA GP 2.1,7013,MEDICINA
41,238,MORFOFUNCIONAL II FISIOLOGÍA TEORÍA,7310,MEDICINA
42,178,"ERGONOMÍA ENFOCADA AL DISEÑO, POSTUROLOGÍA, FISIOLOGÍA Y ÁREAS COGNITIVAS",7352,INGENIERÍA INDUSTRIAL
43,58,FAMILIA Y VIDA GP 1.2,7361,MEDICINA
44,179,GINECOLOGÍA  Y OBSTETRICIA: GINECOLOGÍA,7737,MEDICINA
45,257,INTEGRADO DE CLÍNICA MEDICA: NEUROLOGÍA,7746,MEDICINA
46,255,INTEGRADO DE CLÍNICA III RESPIRATORIO,7755,MEDICINA
47,162,ÉTICA MEDICA,7764,MEDICINA
48,134,BIOESTADÍSTICA,7773,GESTIÓN AMBIENTAL
49,82,INTRODUCCIÓN A LA AUDITORÍA,8123,CONTABILIDAD Y AUDITORÍA
50,80,FIBRAS NATURALES,8730,ARTES PLÁSTICAS Y DISEÑO
51,253,COCINA I,8739,GASTRONOMÍA
52,189,ENOLOGÍA Y MIXOLOGÍA,8748,GASTRONOMÍA
53,101,"TURISMO, GASTRONOMIA Y NUEVAS TECNOLOGÍAS",8757,HOTELERÍA Y TURISMO
54,73,SALUD PÚBLICA,8766,MEDICINA
55,179,GINECOLOGÍA Y OBSTETRICIA: OBSTETRICIA,9054,MEDICINA
56,257,INTEGRADO DE CLÍNICA MEDICA: INMUNO-REUMATOLOGÍA,9063,MEDICINA
57,82,INTRODUCCIÓN A LOS ESTUDIOS MÉDICOS,9072,MEDICINA
58,230,MORFOFUNCIONAL I ANATOMÍA PRÁCTICA,9309,MEDICINA
59,161,PERIODISMO EN BASE DE DATOS,9644,COMUNICACIÓN SOCIAL
60,110,ARQUITECTURA LATINOAMERICANA: ECUADOR Y PERÚ,9653,ARQUITECTURA
61,267,BIOLOGÍA CELULAR Y MOLECULAR,9662,MEDICINA
62,232,MORFOFUNCIONAL III FISIOLOGÍA TEORÍA,9900,MEDICINA
63,44,PATOLOGÍA GENERAL,10129,MEDICINA
64,257,INTEGRADO DE CLÍNICAS QUIRÚRGICAS CIRUGÍA GENERAL Y TÉCNICA QUIRÚRGICA,10440,MEDICINA
65,53,EXTERNADO GP 3.1,10449,MEDICINA
66,256,INTEGRADO DE CLINICA III IMAGEN,10458,MEDICINA
67,256,INTEGRADO DE CLINICA III RENAL,10467,MEDICINA
68,65,"INTRODUCCION A LA INGENIERÍA QUÍMICA, INDUSTRIA, AMBIENTE Y DESARROLLO",10476,INGENIERÍA QUÍMICA
69,222,MORFOFUNCIONAL IV NEUROFISIOLOGÍA PRÁCTICA,10485,MEDICINA
70,240,MORFOFUNCIONAL II HISTOLOGÍA PRÁCTICA,10634,MEDICINA
71,102,CIENCIAS PENALES,10889,DERECHO
72,101,NUEVAS TECNOLOGÍAS APLICADAS AL DERECHO,10898,DERECHO
73,67,INTRODUCCIÓN AL DERECHO,10907,DERECHO
74,15,GESTIÓN PRODUCTIVA GP 2,10916,DERECHO
75,67,DERECHO PROCESAL LABORAL,11314,DERECHO
76,32,TRABAJO DE FIN DE CARRERA 4.1,11323,DERECHO
77,67,"DERECHO CIVIL IV, OBLIGACIONES Y CONTRATOS",11556,DERECHO
78,67,DERECHO INTERNACIONAL PRIVADO,11565,DERECHO
79,67,DERECHO CONSTITUCIONAL,11574,DERECHO
80,76,RELACIONES PÚBLICAS Y PROTOCOLO,11583,HOTELERÍA Y TURISMO
81,67,FILOSOFÍA DEL DERECHO,12028,DERECHO
82,184,MEDIOS ALTERNATIVOS DE RESOLUCIÓN DE CONFLICTOS,12037,DERECHO
83,69,DERECHO PROCESAL CIVIL II,12046,DERECHO
84,70,DERECHO PROCESAL PENAL I,12055,DERECHO
85,70,DERECHO PENAL I,12064,DERECHO
86,10,GESTIÓN PRODUCTIVA GP 1,12073,DERECHO
87,67,DERECHO DE INTEGRACIÓN,12379,DERECHO
88,67,DERECHO INTERNACIONAL PÚBLICO,12388,DERECHO
89,253,"LEYES ESPECIALES I, INQUILINATO, NOTARIAL Y REGISTRAL",12397,DERECHO
90,193,DERECHO AMBIENTAL,12406,DERECHO
91,3,GESTIÓN PRODUCTIVA 3.1,12415,DERECHO
92,69,"DERECHO CIVIL II, BIENES",12616,DERECHO
93,31,TRABAJO DE FIN DE CARRERA 4.2,12625,DERECHO
94,1,GESTIÓN PRODUCTIVA 3.2,12829,DERECHO
95,253,PSICOTERAPIA I,13030,PSICOLOGÍA
96,44,PSICOLOGÍA GENERAL,13039,PSICOLOGÍA
97,3,GESTIÓN PRODUCTIVA 3.1,13048,PSICOLOGÍA
98,253,PSICOPATOLOGÍA I,13057,PSICOLOGÍA
99,253,EVALUACIÓN Y DIAGNÓSTICO I,13066,PSICOLOGÍA
100,93,PSICOLOGÍA SOCIAL,13075,PSICOLOGÍA
101,118,TÉCNICAS DE INTERVENCIÓN PSICOPEDAGÓGICA,13084,PSICOLOGÍA
102,10,GESTIÓN PRODUCTIVA GP 1,13093,PSICOLOGÍA
103,91,PSICOLOGÍA DEL DESEMPEÑO II,13102,PSICOLOGÍA
104,241,ESTADÍSTICA II,13111,PSICOLOGÍA
105,30,TRABAJO DE FIN DE CARRERA GP 4.2,13120,PSICOLOGÍA
106,11,GESTIÓN PRODUCTIVA 4.1,13449,PSICOLOGÍA
107,93,PSICOLOGÍA ORGANIZACIONAL,13673,PSICOLOGÍA
108,189,PSICOPEDAGOGÍA,13682,PSICOLOGÍA
109,92,INTRODUCCIÓN A LA PSICOLOGÍA CLÍNICA,13691,PSICOLOGÍA
110,189,NEUROPSICOLOGÍA,13700,PSICOLOGÍA
111,93,PSICOLOGÍA DE LA PERSONALIDAD,13709,PSICOLOGÍA
112,91,PSICOLOGÍA DEL DESARROLLO II,13718,PSICOLOGÍA
113,189,"RECLUTAMIENTO, SELECCIÓN E INDUCCIÓN DE PERSONAL",13727,PSICOLOGÍA
114,74,OPINIÓN PÚBLICA,13736,RELACIONES PUBLICAS
115,23,PROYECTO DE FIN  DE CARRERA 4.1,13745,RELACIONES PUBLICAS
116,5,GESTIÓN PRODUCTIVA 2.1,13754,RELACIONES PUBLICAS
117,67,DERECHO Y PRÁCTICA PROFESIONAL,13763,RELACIONES PUBLICAS
118,3,GESTIÓN PRODUCTIVA 3.1,13772,RELACIONES PUBLICAS
119,139,LINGÜÍSTICA,13781,RELACIONES PUBLICAS
120,140,RELACIONES HUMANAS,13790,RELACIONES PUBLICAS
121,88,INVESTIGACIÓN DE MERCADOS,13799,RELACIONES PUBLICAS
122,26,PROYECTO DE FIN  DE CARRERA 4.2,14311,RELACIONES PUBLICAS
123,89,DISEÑO GRAFICO,14604,RELACIONES PUBLICAS
124,196,RESPONSABILIDAD SOCIAL EMPRESARIAL,14613,RELACIONES PUBLICAS
125,1,GESTIÓN PRODUCTIVA 3.2,14622,RELACIONES PUBLICAS
126,241,ESTADÍSTICA,14918,RELACIONES PUBLICAS
127,177,SOCIOLOGÍA,14927,RELACIONES PUBLICAS
128,189,MONTAJE EN CONSULTORÍA DE RRPP,14936,RELACIONES PUBLICAS
129,77,TÉCNICAS DE RELACIONES PÚBLICAS,14945,RELACIONES PUBLICAS
130,90,MARKETING,14954,RELACIONES PUBLICAS
131,88,INVESTIGACIÓN EN COMUNICACIÓN,14963,RELACIONES PUBLICAS
132,120,SANIDAD ESPECIES MENORES,14972,INGENIERÍA AGROPECUARIA
133,47,CONTABILIDAD AGROPECUARIA,14981,INGENIERÍA AGROPECUARIA
134,116,CULTIVOS CICLO CORTO I,14990,INGENIERÍA AGROPECUARIA
135,89,DISEÑO FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,14999,INGENIERÍA AGROPECUARIA
136,120,PRODUCCIÓN ESPECIES MENORES II,15008,INGENIERÍA AGROPECUARIA
137,84,DISEÑO DE SISTEMAS DE RIEGO,15017,INGENIERÍA AGROPECUARIA
138,207,ANATOMÍA Y  FISIOLOGÍA VEGETAL,15026,INGENIERÍA AGROPECUARIA
139,137,ZOOLOGÍA,15035,INGENIERÍA AGROPECUARIA
140,11,GESTIÓN PRODUCTIVA 4.1,15044,INGENIERÍA AGROPECUARIA
141,83,SISTEMAS DE INFORMACIÓN GEOGRÁFICA,15053,INGENIERÍA AGROPECUARIA
142,97,BOTÁNICA AGRÍCOLA,15372,INGENIERÍA AGROPECUARIA
143,116,CULTIVOS PERENNES,15381,INGENIERÍA AGROPECUARIA
144,44,QUÍMICA GENERAL,15390,INGENIERÍA QUÍMICA
145,5,GESTIÓN PRODUCTIVA 2.1,15958,INGENIERÍA AGROPECUARIA
146,211,NUTRICIÓN ANIMAL,15967,INGENIERÍA AGROPECUARIA
147,253,EDAFOLOGÍA I,15976,INGENIERÍA AGROPECUARIA
148,125,ENTOMOLOGÍA Y MANEJO INTEGRADO DE PLAGAS,15985,INGENIERÍA AGROPECUARIA
149,3,GESTIÓN PRODUCTIVA 3.1,15994,INGENIERÍA AGROPECUARIA
150,125,PRACTICAS DE MANEJO PECUARIO,16003,INGENIERÍA AGROPECUARIA
151,27,PROYECTO DE FIN DE CARRERA 4.2,16329,ADMINISTRACIÓN DE EMPRESAS
152,36,MATEMÁTICA FINANCIERA,16338,ADMINISTRACIÓN DE EMPRESAS
153,138,PRESUPUESTOS,16898,ADMINISTRACIÓN DE EMPRESAS
154,20,GESTIÓN PRODUCTIVA  2,17395,ADMINISTRACIÓN DE EMPRESAS
155,72,LEGISLACIÓN Y PRÁCTICA TRIBUTARIA,17598,ADMINISTRACIÓN DE EMPRESAS
156,9,GESTIÓN PRODUCTIVA 1,18031,ADMINISTRACIÓN DE EMPRESAS
157,191,MICROECONOMÍA,18040,ADMINISTRACIÓN DE EMPRESAS
158,1,GESTIÓN PRODUCTIVA 3.2,18485,ADMINISTRACIÓN DE EMPRESAS
159,176,COMERCIO EXTERIOR,18708,ADMINISTRACIÓN DE EMPRESAS
160,189,ESTRATEGIAS GERENCIALES,18717,ADMINISTRACIÓN DE EMPRESAS
161,198,DESARROLLO ORGANIZACIONAL,18726,ADMINISTRACIÓN DE EMPRESAS
162,241,ESTADÍSTICA II,18735,ADMINISTRACIÓN DE EMPRESAS
163,3,GESTIÓN PRODUCTIVA 3.1,19415,ADMINISTRACIÓN DE EMPRESAS
164,242,ADMINISTRACIÓN I,19640,ADMINISTRACIÓN DE EMPRESAS
165,244,ADMINISTRACIÓN DE RECURSOS HUMANOS,20126,ADMINISTRACIÓN DE EMPRESAS
166,270,FINANZAS I,20135,ADMINISTRACIÓN DE EMPRESAS
167,45,CONTABILIDAD GENERAL,20603,ADMINISTRACIÓN DE EMPRESAS
168,11,GESTIÓN PRODUCTIVA 4.1,21208,ADMINISTRACIÓN DE EMPRESAS
169,196,LOGÍSTICA EMPRESARIAL,21436,ADMINISTRACIÓN DE EMPRESAS
170,265,CÁLCULO,21445,ADMINISTRACIÓN DE EMPRESAS
171,13,GESTIÓN PRODUCTIVA 4.2,21454,ADMINISTRACIÓN DE EMPRESAS
172,262,PROYECTOS,21662,ADMINISTRACIÓN DE EMPRESAS
173,72,LEGISLACIÓN MERCANTIL Y SOCIETARIA,22097,ADMINISTRACIÓN DE EMPRESAS
174,245,ADMINISTRACIÓN ESTRATÉGICA,22106,ADMINISTRACIÓN DE EMPRESAS
175,204,FRANCÉS III,22500,GASTRONOMÍA
176,253,FRANCÉS I,22509,GASTRONOMÍA
177,187,INNOVACION EN EL SERVICIO,23198,GASTRONOMÍA
178,72,LEGISLACIÓN TURÍSTICA,23207,GASTRONOMÍA
179,204,SERVICIOS III,23546,GASTRONOMÍA
180,5,GESTIÓN PRODUCTIVA 2.1,23555,GASTRONOMÍA
181,23,PROYECTO DE FIN DE CARRERA 4.1,23564,GASTRONOMÍA
182,46,CONTABILIDAD DE COSTOS,23797,GASTRONOMÍA
183,49,GESTION PRODUCTIVA 3.1,24218,GASTRONOMÍA
184,16,GESTIÓN PRODUCTIVA 1.2,24496,GASTRONOMÍA
185,269,FRANCÉS II,24505,GASTRONOMÍA
186,131,INGLÉS V,24514,GASTRONOMÍA
187,169,PUBLICIDAD,24523,COMUNICACIÓN SOCIAL
188,162,ÉTICA PERIODÍSTICA,24532,COMUNICACIÓN SOCIAL
189,75,RELACIONES PÚBLICAS,24541,COMUNICACIÓN SOCIAL
190,245,ADMINISTRACIÓN DE MEDIOS,24550,COMUNICACIÓN SOCIAL
191,90,MARKETING,24559,COMUNICACIÓN SOCIAL
192,220,TEORÍA DE LA IMAGEN,24568,COMUNICACIÓN SOCIAL
193,25,PROYECTO DE FIN DE CARRERA GP 4.2,24577,COMUNICACIÓN SOCIAL
194,4,GESTIÓN PRODUCTIVA GP 3.1,24815,COMUNICACIÓN SOCIAL
195,146,PENSAMIENTO SOCIOPOLÍTICO,24824,COMUNICACIÓN SOCIAL
196,2,GESTIÓN PRODUCTIVA GP 3.2,24833,COMUNICACIÓN SOCIAL
197,177,SOCIOLOGÍA,25163,COMUNICACIÓN SOCIAL
198,6,GESTIÓN PRODUCTIVA GP 2.1,25172,COMUNICACIÓN SOCIAL
199,89,DISEÑO GRAFICO,25181,COMUNICACIÓN SOCIAL
200,189,RADIO,25190,COMUNICACIÓN SOCIAL
201,23,PROYECTO DE FIN DE CARRERA GP 4.1,25199,COMUNICACIÓN SOCIAL
202,189,ESTILO Y REDACCIÓN,25208,COMUNICACIÓN SOCIAL
203,6,GESTIÓN PRODUCTIVA GP 2.1,25217,ARQUITECTURA
204,2,GESTIÓN PRODUCTIVA GP 3.2,25439,ARQUITECTURA
205,14,GESTIÓN PRODUCTIVA GP 4.2,25660,ARQUITECTURA
206,98,PROGRAMACIÓN Y PRESUPUESTO,25861,ARQUITECTURA
207,204,CONSTRUCCIONES III,25870,ARQUITECTURA
208,216,HISTORIA DE LA ARQUITECTURA II,25879,ARQUITECTURA
209,37,MATEMÁTICAS,25888,ARQUITECTURA
210,189,PERSPECTIVAS Y SOMBRAS,25897,ARQUITECTURA
211,269,SISTEMA DE INSTALACIONES II,25906,ARQUITECTURA
212,206,DIBUJO ARTÍSTICO,25915,ARQUITECTURA
213,253,CONSTRUCCIONES I,26202,ARQUITECTURA
214,4,GESTIÓN PRODUCTIVA GP 3.1,26211,ARQUITECTURA
215,12,GESTIÓN PRODUCTIVA GP 4.1,26434,ARQUITECTURA
216,89,DISEÑO PARAMÉTRICO Y FABRICACIÓN DIGITAL,26842,ARQUITECTURA
217,196,DESARROLLO EMPRESARIAL,27286,ADMINISTRACIÓN DE EMPRESAS
218,253,DISEÑO BÁSICO I,27295,ARQUITECTURA
219,111,TOPOGRAFÍA,27304,ARQUITECTURA
220,82,INTRODUCCIÓN A LA ARQUITECTURA,27313,ARQUITECTURA
221,103,VALIDACIÓN DE PRODUCTO,27322,ADMINISTRACIÓN DE EMPRESAS
222,10,GESTIÓN PRODUCTIVA GP 1,27608,ARQUITECTURA
223,262,PROYECTOS III,27878,ARQUITECTURA
224,107,RESISTENCIA DE MATERIALES,27887,ARQUITECTURA
225,173,METODOLOGIAS AGILES,27896,SISTEMAS INFORMÁTICOS Y COMPUTACIÓN
226,110,SOSTENIBILIDAD EN ARQUITECTURA ,28298,ARQUITECTURA
227,194,SEGURIDAD INDUSTRIAL E IMPACTO AMBIENTAL DE LAS ACTIVIDADES DE LA IET,28307,ELECTRÓNICA Y TELECOMUNICACIONES
228,136,FOTOGRAFÍA ARTÍSTICA,28722,ARTES PLÁSTICAS Y DISEÑO
229,269,URBANISMO II,28731,ARQUITECTURA
230,262,PROYECTOS I,28740,ARQUITECTURA
231,110,CRÍTICA DE LA ARQUITECTURA,28749,ARQUITECTURA
232,269,ESTRUCTURAS II,28758,ARQUITECTURA
233,8,GESTIÓN PRODUCTIVA GP 2.2,28767,ARQUITECTURA
234,262,PROYECTOS V,28981,ARQUITECTURA
235,23,PROYECTO DE FIN DE CARRERA 4.1,28990,ARQUITECTURA
236,27,PROYECTO DE FIN DE CARRERA 4.2,28999,ARQUITECTURA
237,129,ALGEBRA LINEAL Y MÉTODOS NUMÉRICOS,29008,INGENIERO EN ALIMENTOS
238,5,GESTIÓN PRODUCTIVA 2.1,29583,INGENIERO EN ALIMENTOS
239,89,DISEÑO EXPERIMENTAL,29592,INGENIERO EN ALIMENTOS
240,65,QUÍMICA ORGÁNICA,29601,INGENIERO EN ALIMENTOS
241,66,QUÍMICA FÍSICA,29610,INGENIERO EN ALIMENTOS
242,3,GESTIÓN PRODUCTIVA 3.1,29619,INGENIERO EN ALIMENTOS
243,159,DISEÑO Y CONTROL DE PROCESOS AGROINDUSTRIAS,29628,INGENIERO EN ALIMENTOS
244,263,CÁLCULO I,29637,INGENIERÍA QUÍMICA
245,128,ECUACIONES DIFERENCIALES,29646,INGENIERÍA QUÍMICA
246,175,BALANCE DE MATERIA Y ENERGÍA,29655,INGENIERO EN ALIMENTOS
247,50,GESTIÓN DE LA CALIDAD,29664,INGENIERO EN ALIMENTOS
248,127,TRANSFERENCIA DE CALOR,29673,INGENIERO EN ALIMENTOS
249,156,NUTRICIÓN Y SALUD ALIMENTARIA,29682,INGENIERO EN ALIMENTOS
250,51,GESTIÓN EMPRESARIAL,29691,INGENIERO EN ALIMENTOS
251,102,CIENCIA Y TECNOLOGÍA DE PRODUCTOS PECUARIOS,29700,INGENIERO EN ALIMENTOS
252,150,OPERACIONES BÁSICAS CON SOLIDOS,29709,INGENIERO EN ALIMENTOS
253,11,GESTIÓN PRODUCTIVA 4.1,29718,INGENIERO EN ALIMENTOS
254,26,PROYECTO DE FIN  DE CARRERA 4.2,29727,ADMINISTRACIÓN EN BANCA Y FINANZAS
255,82,INTRODUCCIÓN A LA ECONOMÍA,30019,ADMINISTRACIÓN EN BANCA Y FINANZAS
256,241,ESTADÍSTICA I,30588,ADMINISTRACIÓN EN BANCA Y FINANZAS
257,85,SISTEMAS FINANCIEROS Y MERCADO DE CAPITALES,31251,ADMINISTRACIÓN EN BANCA Y FINANZAS
258,242,ADMINISTRACIÓN DE CRÉDITO I,31260,ADMINISTRACIÓN EN BANCA Y FINANZAS
259,72,LEGISLACIÓN LABORAL Y SOCIAL,31269,ADMINISTRACIÓN EN BANCA Y FINANZAS
260,245,ADMINISTRACIÓN ESTRATÉGICA,31619,ADMINISTRACIÓN EN BANCA Y FINANZAS
261,191,MICROECONOMÍA,32013,ADMINISTRACIÓN EN BANCA Y FINANZAS
262,11,GESTIÓN PRODUCTIVA 4.1,32458,ADMINISTRACIÓN EN BANCA Y FINANZAS
263,72,LEGISLACIÓN Y PRÁCTICA TRIBUTARIA,32467,ADMINISTRACIÓN EN BANCA Y FINANZAS
264,176,COMERCIO EXTERIOR,32900,ADMINISTRACIÓN EN BANCA Y FINANZAS
265,72,LEGISLACIÓN MONETARIA Y BANCARIA,32909,ADMINISTRACIÓN EN BANCA Y FINANZAS
266,90,MARKETING,33232,ADMINISTRACIÓN EN BANCA Y FINANZAS
267,13,GESTIÓN PRODUCTIVA 4.2,33753,ADMINISTRACIÓN EN BANCA Y FINANZAS
268,72,LEGISLACIÓN MERCANTIL Y SOCIETARIA,34008,ADMINISTRACIÓN EN BANCA Y FINANZAS
269,22,GESTIÓN PRODUCTIVA GP1,34017,ADMINISTRACIÓN EN BANCA Y FINANZAS
270,138,PRESUPUESTOS,34026,ADMINISTRACIÓN EN BANCA Y FINANZAS
271,244,ADMINISTRACIÓN DE RECURSOS HUMANOS,34523,ADMINISTRACIÓN EN BANCA Y FINANZAS
272,3,GESTIÓN PRODUCTIVA 3.1,34532,ADMINISTRACIÓN EN BANCA Y FINANZAS
273,45,CONTABILIDAD GENERAL,34541,ADMINISTRACIÓN EN BANCA Y FINANZAS
274,270,FINANZAS II,35146,ADMINISTRACIÓN EN BANCA Y FINANZAS
275,265,CÁLCULO,35562,ADMINISTRACIÓN EN BANCA Y FINANZAS
276,252,MICROBIOLOGÍA,35571,BIOLOGÍA
277,8,GESTIÓN PRODUCTIVA GP 2.2,35580,BIOLOGÍA
278,6,GESTIÓN PRODUCTIVA GP 2.1,35781,BIOLOGÍA
279,268,BIOLOGÍA CELULAR Y MOLECULAR II,35790,BIOLOGÍA
280,4,GESTIÓN PRODUCTIVA GP 3.1,36142,BIOLOGÍA
281,212,DIVERSIDAD VEGETAL II,36465,BIOLOGÍA
282,210,MORFO FISIOLOGÍA VEGETAL,36474,BIOLOGÍA
283,203,ECOLOGÍA II,36483,BIOLOGÍA
284,212,DIVERSIDAD ANIMAL II,36492,BIOLOGÍA
285,172,BIOGEOGRAFÍA Y EVOLUCIÓN,36501,BIOLOGÍA
286,266,BIOLOGÍA CELULAR Y MOLECULAR I,36714,BIOLOGÍA
287,200,ECOLOGÍA III,37017,BIOLOGÍA
288,189,BIORREMEDIACIÓN,37605,BIOLOGÍA
289,208,MORFO FISIOLOGÍA ANIMAL,37614,BIOLOGÍA
290,269,GENÉTICA II,37623,BIOLOGÍA
291,104,EDAFOLOGÍA Y CONSERVACIÓN DE SUELOS,37632,BIOLOGÍA
292,104,BIOLOGÍA DE LA CONSERVACIÓN,37915,BIOLOGÍA
293,40,MATEMÁTICAS PARA LAS CIENCIAS BIOLÓGICAS I,37924,BIOLOGÍA
294,148,ECOLOGÍA DE PAISAJE Y ORDENAMIENTO TERRITORIAL,37933,BIOLOGÍA
295,23,PROYECTO DE FIN DE CARRERA 4.1,38292,BIOLOGÍA
296,27,PROYECTO DE FIN DE CARRERA 4.2,38547,BIOLOGÍA
297,254,BIOQUÍMICA APLICADA,38759,BIOLOGÍA
298,83,SISTEMAS DE INFORMACIÓN GEOGRÁFICA,38768,BIOLOGÍA
299,104,INVESTIGACIÓN SOCIAL PARA EL MANEJO Y CONSERVACIÓN,39087,BIOLOGÍA
300,111,TOPOGRAFÍA,39096,GEOLOGÍA Y MINAS
301,189,GEOINFORMÁTICA,39105,GEOLOGÍA Y MINAS
302,189,FOTOGEOLOGÍA,39114,GEOLOGÍA Y MINAS
303,179,EXPLOTACIÓN MINERA,39123,GEOLOGÍA Y MINAS
304,94,INGENIERÍA AMBIENTAL,39132,GEOLOGÍA Y MINAS
305,181,MINERALOGÍA ÓPTICA,39141,GEOLOGÍA Y MINAS
306,44,GEOLOGÍA GENERAL,39150,GEOLOGÍA Y MINAS
307,114,GEOMÁTICA APLICADA,39159,GEOLOGÍA Y MINAS
308,189,TECTÓNICA GLOBAL Y REGIONAL,39168,GEOLOGÍA Y MINAS
309,28,PROYECTO DE TESIS GP 4.1,39177,GEOLOGÍA Y MINAS
310,53,PRÁCTICA GEOLOGÍA DEL ECUADOR GP 3.1,39381,GEOLOGÍA Y MINAS
311,189,PALEONTOLOGÍA,39390,GEOLOGÍA Y MINAS
312,189,PETROLOGÍA IGNEA Y METAMÓRFICA,39399,GEOLOGÍA Y MINAS
313,133,GEOLOGÍA ESTRUCTURAL,39408,GEOLOGÍA Y MINAS
314,109,VOLADURA DE ROCAS,39417,GEOLOGÍA Y MINAS
315,109,MECÁNICA DE ROCAS,39426,GEOLOGÍA Y MINAS
316,66,FÍSICA,39435,GEOLOGÍA Y MINAS
317,19,GESTIÓN PRODUCTIVA 1.1,39444,GEOLOGÍA Y MINAS
318,6,GESTIÓN PRODUCTIVA  GP 2.1,39453,GEOLOGÍA Y MINAS
319,265,CÁLCULO,39462,GEOLOGÍA Y MINAS
320,88,METODOLOGÍA DE LA INVESTIGACIÓN,39471,GEOLOGÍA Y MINAS
321,189,YACIMIENTOS MINERALES,39480,GEOLOGÍA Y MINAS
322,109,MECÁNICA DE SUELOS Y ROCAS,39489,GEOLOGÍA Y MINAS
323,133,GEOLOGÍA DEL PETRÓLEO,39498,GEOLOGÍA Y MINAS
324,29,PROYECTO DE TESIS GP 4.2,39507,GEOLOGÍA Y MINAS
325,59,PRÁCTICA EXPLORACIÓN GP 3.2,39728,GEOLOGÍA Y MINAS
326,133,GEOLOGÍA DEL ECUADOR,39937,GEOLOGÍA Y MINAS
327,189,ALTERACIONES HIDROTERMALES,39946,GEOLOGÍA Y MINAS
328,21,GESTIÓN PRODUCTIVA GP 3,39955,ELECTRÓNICA Y TELECOMUNICACIONES
329,38,FUNDAMENTOS MATEMÁTICOS,40156,ELECTRÓNICA Y TELECOMUNICACIONES
